Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Lucas Robertone;ARG;MF;Almería;La Liga;25;20;19;1;1.39
Andrew Robertson;SCO;DF;Liverpool;Premier League;28;18;15;0;0.61
Antonee Robinson;USA;DF;Fulham;Premier League;25;20;20;0;0.05
Joel Roca;ESP;MFFW;Girona;La Liga;17;4;0;0;2.86
Marc Roca;ESP;MF;Leeds United;Premier League;26;20;19;1;0.93
Enzo Roco;CHI;DF;Elche;La Liga;30;15;14;0;0.47
Marek Rodák;SVK;GK;Fulham;Premier League;26;2;2;0;0
Sebastian Rode;GER;MF;Eint Frankfurt;Bundesliga;32;16;9;3;0.5
Joe Rodon;WAL;DF;Rennes;Ligue 1;25;13;13;1;0.54
Rodri;ESP;MF;Manchester City;Premier League;26;20;20;1;1.61
Rodrigo;ESP;FWMF;Leeds United;Premier League;31;18;17;10;3.61
Rodrigo;ESP;FWMF;Betis;La Liga;22;16;12;2;0.8
Ángel Rodríguez;ESP;FWMF;Mallorca;La Liga;35;8;1;0;3.04
Óscar Rodríguez Arnaiz;ESP;MF;Celta Vigo;La Liga;24;19;14;2;2.26
Dani Rodríguez;ESP;MF;Mallorca;La Liga;34;20;15;1;0.85
Guido Rodríguez;ARG;MF;Betis;La Liga;28;18;17;0;0.55
Pablo Rodríguez;ESP;FWMF;Lecce;Serie A;21;4;0;0;0
Ricardo Rodríguez;SUI;DF;Torino;Serie A;30;19;14;0;0.39
Rodrygo;BRA;FW;Real Madrid;La Liga;22;18;12;4;3.79
Mads Roerslev;DEN;DF;Brentford;Premier League;23;14;10;0;0.29
Agustín Rogel;URU;DF;Hertha BSC;Bundesliga;25;10;9;0;0.33
Rogério;BRA;DF;Sassuolo;Serie A;25;20;19;0;0.33
Alessio Romagnoli;ITA;DF;Lazio;Serie A;28;21;20;1;0.36
Cristian Romero;ARG;DF;Tottenham;Premier League;24;14;13;0;0.45
Iván Romero;ESP;MF;Sevilla;La Liga;21;1;0;0;0
Luka Romero;ARG;FW;Lazio;Serie A;18;5;1;1;2.67
Oriol Romeu;ESP;MF;Southampton;Premier League;31;1;1;0;0
Oriol Romeu;ESP;MF;Girona;La Liga;31;17;17;1;0.94
Cristiano Ronaldo;POR;FW;Manchester Utd;Premier League;38;10;4;1;4.31
Connor Ronan;IRL;MF;Wolves;Premier League;24;1;0;0;0
Salomón Rondón;VEN;FW;Everton;Premier League;33;7;1;0;3.33
Valentin Rongier;FRA;MF;Marseille;Ligue 1;28;22;20;1;0.61
Marten de Roon;NED;MF;Atalanta;Serie A;31;20;19;0;0.45
Pablo Rosario;NED;MFDF;Nice;Ligue 1;26;17;9;0;0.46
Tom Rothe;GER;DF;Dortmund;Bundesliga;18;1;0;0;0
Joe Rothwell;ENG;MFDF;Bournemouth;Premier League;28;7;1;0;0.59
Anthony Rouault;FRA;DF;Toulouse;Ligue 1;21;22;22;2;0.55
Jérôme Roussillon;FRA;MFDF;Wolfsburg;Bundesliga;30;4;0;0;0
Jérôme Roussillon;FRA;DF;Union Berlin;Bundesliga;30;4;2;0;1.11
Nicolò Rovella;ITA;MF;Monza;Serie A;21;12;10;0;0.92
Nicolò Rovella;ITA;MF;Juventus;Serie A;21;3;0;0;6.67
Amir Rrahmani;KVX;DF;Napoli;Serie A;28;14;13;1;0.9
Ruan;BRA;DF;Sassuolo;Serie A;23;8;6;0;0.36
Rubén;ESP;DFMF;Espanyol;La Liga;22;9;3;0;1.54
Antonio Rüdiger;GER;DF;Real Madrid;La Liga;29;18;13;1;1.03
Sebastian Rudy;GER;MF;Hoffenheim;Bundesliga;32;13;3;0;0.21
Daniele Rugani;ITA;DF;Juventus;Serie A;28;3;3;0;0.69
Matteo Ruggeri;ITA;DFMF;Atalanta;Serie A;20;10;4;0;0.98
Mário Rui;POR;DF;Napoli;Serie A;31;17;16;0;0.53
Aitor Ruibal;ESP;DFFW;Betis;La Liga;26;17;8;0;0.98
Kays Ruiz;MAR;MF;Auxerre;Ligue 1;20;1;1;0;0
Fabián Ruiz Peña;ESP;MF;Paris S-G;Ligue 1;26;14;11;1;1.24
Víctor Ruiz;ESP;DF;Betis;La Liga;34;6;3;0;0.25
Gerónimo Rulli;ARG;GK;Villarreal;La Liga;30;14;14;0;0
Franco Russo;ARG;DF;Mallorca;La Liga;28;3;2;0;0
Georginio Rutter;FRA;FW;Leeds United;Premier League;20;2;0;0;0
Georginio Rutter;FRA;FW;Hoffenheim;Bundesliga;20;15;11;2;2.41
Julian Ryerson;NOR;DF;Union Berlin;Bundesliga;25;13;12;0;1.39
Julian Ryerson;NOR;DF;Dortmund;Bundesliga;25;4;4;1;1.25
Frederik Rønnow;DEN;GK;Union Berlin;Bundesliga;30;16;16;0;0
José Sá;POR;GK;Wolves;Premier League;30;22;22;0;0
Youssouf Sabaly;SEN;DF;Betis;La Liga;29;14;11;0;0.45
Halid Šabanovi?;BIH;DFFW;Angers;Ligue 1;23;5;4;0;0
Abdelhamid Sabiri;MAR;MFFW;Sampdoria;Serie A;26;13;11;1;2.45
Marcel Sabitzer;AUT;MF;Manchester Utd;Premier League;28;2;1;0;3
Marcel Sabitzer;AUT;MF;Bayern Munich;Bundesliga;28;15;7;1;2.14
Falaye Sacko;MLI;DF;Montpellier;Ligue 1;27;19;14;0;0.21
Umar Sadiq;NGA;FW;Almería;La Liga;26;3;3;2;2.59
Umar Sadiq;NGA;FW;Real Sociedad;La Liga;26;2;1;1;1.11
Alexis Saelemaekers;BEL;FWDF;Milan;Serie A;23;14;8;0;1.45
Wesley Saïd;FRA;FWMF;Lens;Ligue 1;27;17;6;5;3.64
Allan Saint-Maximin;FRA;FW;Newcastle Utd;Premier League;25;14;6;1;2.39
Théo Sainte-Luce;FRA;DF;Montpellier;Ligue 1;24;5;5;1;0.77
Samuel Sáiz;ESP;MF;Girona;La Liga;32;8;1;2;0.74
Bukayo Saka;ENG;FW;Arsenal;Premier League;21;21;21;7;2.45
Hamza Sakhi;MAR;MF;Auxerre;Ligue 1;26;22;18;1;1.61
Mamadou Sakho;FRA;DF;Montpellier;Ligue 1;32;10;5;1;0.53
Jacopo Sala;ITA;MF;Spezia;Serie A;31;6;1;0;0
Ibrahim Salah;BEL;MF;Rennes;Ligue 1;21;1;0;0;0
Mohamed Salah;EGY;FW;Liverpool;Premier League;30;20;20;7;3.15
Amine Salama;FRA;FWMF;Angers;Ligue 1;22;20;10;3;1.8
William Saliba;FRA;DF;Arsenal;Premier League;21;21;21;2;0.24
Dikeni Salifou;TOG;MF;Werder Bremen;Bundesliga;19;1;0;0;0
Mohammed Salisu;GHA;DF;Southampton;Premier League;23;21;21;0;0.76
Roland Sallai;HUN;MFFW;Freiburg;Bundesliga;25;10;6;0;3.4
Yoann Salmier;GUF;DF;Troyes;Ligue 1;30;20;20;1;0.53
Salvi;ESP;FWMF;Rayo Vallecano;La Liga;31;12;3;0;0.65
Lazar Samardzic;GER;MF;Udinese;Serie A;20;20;7;4;3.33
Diadie Samassékou;MLI;MFFW;Hoffenheim;Bundesliga;27;2;1;0;0
Mama Samba Baldé;GNB;FW;Troyes;Ligue 1;27;20;19;9;3.14
Brice Samba;CGO;GK;Lens;Ligue 1;28;22;22;0;0
Albert Sambi Lokonga;BEL;MF;Arsenal;Premier League;23;6;2;0;0
Albert Sambi Lokonga;BEL;MF;Crystal Palace;Premier League;23;2;0;0;0
Junior Sambia;FRA;DFMF;Salernitana;Serie A;26;10;3;0;1.43
Samuel;BRA;FWMF;Valencia;La Liga;23;21;21;2;2.73
Fede San Emeterio;ESP;MF;Cádiz;La Liga;25;17;13;0;0.28
Antonio Sanabria;PAR;FW;Torino;Serie A;26;17;12;4;2.15
Leandro Sanca;POR;FWMF;Spezia;Serie A;23;4;0;0;0
Oihan Sancet;ESP;MF;Athletic Club;La Liga;22;21;19;8;2.04
Renato Sanches;POR;MF;Paris S-G;Ligue 1;25;14;3;2;1.28
Alexis Sánchez;CHI;FW;Marseille;Ligue 1;34;20;17;9;2.39
Antonio Sánchez;ESP;MF;Mallorca;La Liga;26;18;7;0;1.41
Davinson Sánchez;COL;DF;Tottenham;Premier League;26;13;6;0;0.63
Iván Sánchez;ESP;MFFW;Valladolid;La Liga;30;15;9;0;1.52
Javi Sánchez;ESP;DF;Valladolid;La Liga;25;17;17;1;0.5
Manuel Sánchez;ESP;DF;Osasuna;La Liga;22;15;8;0;0.54
Robert Sánchez;ESP;GK;Brighton;Premier League;25;21;21;0;0
Jadon Sancho;ENG;FW;Manchester Utd;Premier League;22;11;10;3;0.96
Alex Sandro;BRA;DF;Juventus;Serie A;32;17;13;0;0.24
Leroy Sané;GER;MFFW;Bayern Munich;Bundesliga;27;18;13;6;3.68
Sidi Sané;GER;FW;Schalke 04;Bundesliga;19;1;0;0;0
Morgan Sanson;FRA;MF;Aston Villa;Premier League;28;2;0;0;0
Morgan Sanson;FRA;MF;Strasbourg;Ligue 1;28;3;3;0;0.95
Nicola Sansone;ITA;FW;Bologna;Serie A;31;10;5;1;2.98
Baptiste Santamaria;FRA;MF;Rennes;Ligue 1;27;10;9;1;1.05
Riccardo Saponara;ITA;FW;Fiorentina;Serie A;31;17;7;2;2.84
Pablo Sarabia;ESP;FW;Wolves;Premier League;30;3;2;0;2.27
Pablo Sarabia;ESP;FWMF;Paris S-G;Ligue 1;30;14;3;0;1.46
Muhammed Saracevic Cham;AUT;MF;Clermont Foot;Ligue 1;22;23;14;4;2.13
Jeremy Sarmiento;ECU;MF;Brighton;Premier League;20;7;1;0;2.78
Amin Sarr;SWE;FWMF;Lyon;Ligue 1;21;2;0;0;1.67
Malang Sarr;FRA;DF;Monaco;Ligue 1;24;9;4;0;0
Martin Satriano;URU;FW;Empoli;Serie A;21;20;16;1;2.1
Téji Savanier;FRA;MF;Montpellier;Ligue 1;31;18;18;7;1.79
Esteban Saveljich;MNE;FW;Rayo Vallecano;La Liga;31;1;0;0;0
Stefan Savi?;MNE;DF;Atlético Madrid;La Liga;32;13;13;0;0
Joe Scally;USA;DF;M'Gladbach;Bundesliga;20;18;17;0;0.3
Giorgio Scalvini;ITA;DF;Atalanta;Serie A;19;18;15;2;0.73
Gianluca Scamacca;ITA;FW;West Ham;Premier League;24;16;11;3;2.91
Gustavo Scarpa;BRA;MFFW;Nott'ham Forest;Premier League;29;4;2;0;3.33
Kevin Schade;GER;FWMF;Brentford;Premier League;21;3;0;0;0
Kevin Schade;GER;FWMF;Freiburg;Bundesliga;21;8;1;1;2
András Schäfer;HUN;MF;Union Berlin;Bundesliga;23;13;9;0;0.71
Fabian Schär;SUI;DF;Newcastle Utd;Premier League;31;21;21;1;1.54
Derry Scherhant;GER;FW;Hertha BSC;Bundesliga;20;5;1;0;1.88
Patrik Schick;CZE;FW;Leverkusen;Bundesliga;27;11;10;2;2.95
Kingsley Schindler;GER;DFMF;Köln;Bundesliga;29;16;3;0;0
Xaver Schlager;AUT;MF;RB Leipzig;Bundesliga;25;16;14;1;0.29
Keven Schlotterbeck;GER;DF;Freiburg;Bundesliga;25;2;0;0;0
Keven Schlotterbeck;GER;DF;Bochum;Bundesliga;25;4;3;1;0.94
Nico Schlotterbeck;GER;DF;Dortmund;Bundesliga;23;20;20;3;0.67
Jeffrey Schlupp;GHA;MF;Crystal Palace;Premier League;30;22;19;1;0.88
Kasper Schmeichel;DEN;GK;Nice;Ligue 1;36;21;21;0;0
Romano Schmid;AUT;MF;Werder Bremen;Bundesliga;23;15;10;0;0.86
Niklas Schmidt;GER;MF;Werder Bremen;Bundesliga;24;12;4;1;1.61
Benno Schmitz;GER;DF;Köln;Bundesliga;28;18;17;1;0.32
Jerdy Schouten;NED;MF;Bologna;Serie A;26;17;13;0;0.31
Perr Schuurs;NED;DF;Torino;Serie A;23;16;15;0;0.53
Marvin Schwäbe;GER;GK;Köln;Bundesliga;27;19;19;0;0
Alexander Schwolow;GER;GK;Schalke 04;Bundesliga;30;17;17;0;0.06
Demba Seck;SEN;FWMF;Torino;Serie A;22;10;5;0;1.75
Haris Seferovi?;SUI;MF;Celta Vigo;La Liga;30;1;0;0;0
Jacopo Segre;ITA;DF;Torino;Serie A;25;1;0;0;0
Paul Seguin;GER;MF;Union Berlin;Bundesliga;27;13;3;1;1.22
Alidu Seidu;GHA;DF;Clermont Foot;Ligue 1;22;20;20;0;0.26
Davie Selke;GER;FW;Hertha BSC;Bundesliga;28;13;3;1;1.61
Davie Selke;GER;FW;Köln;Bundesliga;28;4;1;0;0
Matz Sels;BEL;GK;Strasbourg;Ligue 1;30;22;22;0;0
Nélson Semedo;POR;DF;Wolves;Premier League;29;20;15;0;0.21
Vivaldo Semedo;POR;FW;Udinese;Serie A;18;1;0;0;0
Antoine Semenyo;GHA;FWMF;Bournemouth;Premier League;23;2;1;0;0.91
Marvin Senaya;TOG;DF;Strasbourg;Ligue 1;22;1;0;0;0
Marcos Senesi;ARG;DF;Bournemouth;Premier League;25;18;17;1;0.13
Stefano Sensi;ITA;MF;Monza;Serie A;27;14;12;2;1.21
Jaime Seoane;ESP;MF;Getafe;La Liga;26;11;2;0;0.63
Luigi Sepe;ITA;GK;Salernitana;Serie A;31;15;15;0;0
Suat Serdar;GER;MF;Hertha BSC;Bundesliga;25;18;16;4;1.29
Leonardo Sernicola;ITA;DF;Cremonese;Serie A;25;17;15;1;1.19
Ryan Sessegnon;ENG;DF;Tottenham;Premier League;22;17;9;2;2
Stephan El Shaarawy;ITA;DFMF;Roma;Serie A;30;16;5;3;2.15
Luke Shaw;ENG;DF;Manchester Utd;Premier League;27;18;17;1;0.36
Jonjo Shelvey;ENG;MF;Newcastle Utd;Premier League;30;3;0;0;0
Jonjo Shelvey;ENG;MF;Nott'ham Forest;Premier League;30;1;0;0;0
Eldor Shomurodov;UZB;FW;Spezia;Serie A;27;2;2;0;1.67
Eldor Shomurodov;UZB;FW;Roma;Serie A;27;6;1;0;4.62
Kaj Sierhuis;NED;FW;Reims;Ligue 1;24;2;0;0;0
Vincent Sierro;SUI;MFFW;Toulouse;Ligue 1;27;3;0;0;0
Kiliann Sildillia;FRA;DFMF;Freiburg;Bundesliga;20;18;17;0;0.5
André Silva;POR;FW;RB Leipzig;Bundesliga;27;20;14;4;2.93
Bernardo Silva;POR;MFFW;Manchester City;Premier League;28;20;16;2;1.08
Caio Henrique Oliveira Silva;BRA;DF;Monaco;Ligue 1;25;20;19;1;0.47
David Silva;ESP;MF;Real Sociedad;La Liga;37;16;15;1;1.21
Rui Silva;POR;GK;Betis;La Liga;29;18;18;0;0
Thiago Silva;BRA;DF;Chelsea;Premier League;38;20;19;0;0.5
Marco Silvestri;ITA;GK;Udinese;Serie A;31;21;21;0;0
Abdallah Sima;SEN;FW;Angers;Ligue 1;21;18;10;2;2.33
Mohamed Simakan;FRA;DF;RB Leipzig;Bundesliga;22;12;11;1;0.76
Giovanni Simeone;ARG;FW;Napoli;Serie A;27;12;0;3;2.5
Ellis Simms;ENG;FW;Everton;Premier League;22;2;0;0;0
Eduardo Simões;POR;DF;Hoffenheim;Bundesliga;20;4;1;0;0
Moses Simon;NGA;FWMF;Nantes;Ligue 1;27;19;19;5;1.32
Unai Simón;ESP;GK;Athletic Club;La Liga;25;21;21;0;0
Lassine Sinayoko;MLI;MFFW;Auxerre;Ligue 1;23;21;14;0;2.05
Wilfried Singo;CIV;DF;Torino;Serie A;22;16;11;0;1.18
Luis Sinisterra;COL;FW;Leeds United;Premier League;23;12;8;2;2.17
Daley Sinkgraven;NED;DFMF;Leverkusen;Bundesliga;27;7;3;0;1.03
Tobias Sippel;GER;GK;M'Gladbach;Bundesliga;34;3;3;0;0
Hugo Siquet;BEL;DF;Freiburg;Bundesliga;20;2;0;0;0
Ibrahima Sissoko;FRA;MF;Strasbourg;Ligue 1;25;12;4;0;1.11
Moussa Sissoko;FRA;MF;Nantes;Ligue 1;33;15;13;1;0.79
Tim Skarke;GER;DFMF;Union Berlin;Bundesliga;26;3;0;0;6.67
Tim Skarke;GER;FWMF;Schalke 04;Bundesliga;26;3;3;0;2.92
Ellyes Skhiri;TUN;MF;Köln;Bundesliga;27;18;18;3;1.07
Oliver Skipp;ENG;MF;Tottenham;Premier League;22;8;3;0;0.45
Leo Skiri Østigård;NOR;DF;Napoli;Serie A;23;4;2;0;0.83
?ukasz Skorupski;POL;GK;Bologna;Serie A;31;21;21;0;0
Robert Skov;DEN;DF;Hoffenheim;Bundesliga;26;16;14;3;2.91
Milan Škriniar;SVK;DF;Inter;Serie A;28;20;19;0;0.43
Naatan Skyttä;FIN;MF;Toulouse;Ligue 1;20;2;0;0;3.33
Islam Slimani;ALG;FW;Brest;Ligue 1;34;16;11;1;1.27
Chris Smalling;ENG;DF;Roma;Serie A;33;22;21;3;0.55
Adam Smith;ENG;DF;Bournemouth;Premier League;31;21;21;0;0.15
Emile Smith Rowe;ENG;MFFW;Arsenal;Premier League;22;5;0;0;3.33
Hrvoje Smol?i?;CRO;DF;Eint Frankfurt;Bundesliga;22;7;2;0;0.31
Cédric Soares;POR;DF;Arsenal;Premier League;31;2;0;0;0
Cédric Soares;POR;DF;Fulham;Premier League;31;1;0;0;0
Danilo Soares;BRA;DF;Bochum;Bundesliga;31;14;14;0;0.08
Eduard Sobol;UKR;DFMF;Strasbourg;Ligue 1;27;3;2;0;0.5
Rubén Sobrino;ESP;FWMF;Cádiz;La Liga;30;17;13;1;1.3
Alex Sola;ESP;DF;Real Sociedad;La Liga;23;5;3;0;1.29
Dominic Solanke;ENG;FWMF;Bournemouth;Premier League;25;17;16;3;2.26
Augusto Solari;ARG;MFFW;Celta Vigo;La Liga;31;8;2;0;0.91
Ola Solbakken;NOR;MFFW;Roma;Serie A;24;3;0;0;0
Nikola Soldo;CRO;DF;Köln;Bundesliga;22;6;5;0;1.07
Carlos Soler;ESP;MF;Valencia;La Liga;26;3;3;1;1.48
Carlos Soler;ESP;MF;Paris S-G;Ligue 1;26;15;9;2;0.86
François-Joseph Sollacaro;FRA;GK;Ajaccio;Ligue 1;28;3;3;0;0
Manor Solomon;ISR;FW;Fulham;Premier League;23;5;0;1;2.22
Yann Sommer;SUI;GK;Bayern Munich;Bundesliga;34;5;5;0;0
Yann Sommer;SUI;GK;M'Gladbach;Bundesliga;34;10;10;0;0
Brandon Soppy;FRA;DF;Udinese;Serie A;20;1;1;0;2
Brandon Soppy;FRA;DF;Atalanta;Serie A;20;10;7;0;0.86
David Soria;ESP;GK;Getafe;La Liga;29;20;20;0;0
Roberto Soriano;ITA;FWMF;Bologna;Serie A;32;20;11;0;0.79
Borna Sosa;CRO;DFMF;Stuttgart;Bundesliga;25;14;11;0;0.82
Joaquin Sosa;URU;DF;Bologna;Serie A;21;5;2;0;0.71
Florian Sotoca;FRA;MFFW;Lens;Ligue 1;32;22;20;6;2.76
Riccardo Sottil;ITA;FW;Fiorentina;Serie A;23;7;5;0;2.5
Tomáš Sou?ek;CZE;MF;West Ham;Premier League;27;22;18;1;1.03
Matìas Soulé;ARG;MFDF;Juventus;Serie A;19;9;2;0;1.92
Moussa Soumano;FRA;MFFW;Ajaccio;Ligue 1;17;2;0;1;5
Adama Soumaoro;FRA;DF;Bologna;Serie A;30;15;14;0;0.15
Boubakary Soumaré;FRA;MF;Leicester City;Premier League;23;14;12;0;0.11
Arnaud Souquet;FRA;DFFW;Montpellier;Ligue 1;31;12;3;0;0.25
Dyego Sousa;POR;FW;Almería;La Liga;33;13;2;0;2.56
Harry Souttar;AUS;DF;Leicester City;Premier League;24;2;2;0;0
Vinicius Souza;BRA;MF;Espanyol;La Liga;23;18;18;0;0.24
Djibril Sow;SUI;MF;Eint Frankfurt;Bundesliga;26;19;17;2;0.76
Çaðlar Söyüncü;TUR;DF;Leicester City;Premier League;26;2;1;0;0
Kevin Spadanuda;SUI;MFFW;Ajaccio;Ligue 1;26;12;6;0;0.56
Djed Spence;ENG;FWDF;Tottenham;Premier League;22;4;0;0;10
Djed Spence;ENG;DF;Rennes;Ligue 1;22;1;1;0;1.11
Stijn Spierings;NED;MF;Toulouse;Ligue 1;26;22;22;2;0.82
Leonardo Spinazzola;ITA;DF;Roma;Serie A;29;13;9;0;0.44
Marco Sportiello;ITA;GK;Atalanta;Serie A;30;7;6;0;0
Jack Stacey;ENG;DF;Bournemouth;Premier League;26;9;3;0;0.3
Anton Stach;GER;MF;Mainz 05;Bundesliga;24;18;13;1;1.57
Kostas Stafylidis;GRE;MFDF;Bochum;Bundesliga;29;10;5;0;1.43
Jens Stage;DEN;MF;Werder Bremen;Bundesliga;26;19;9;1;0.64
Josip Staniši?;CRO;DF;Bayern Munich;Bundesliga;22;8;1;0;0
Junior Stanislas;ENG;MF;Bournemouth;Premier League;33;4;0;0;1.43
Jay Stansfield;ENG;FW;Fulham;Premier League;20;3;1;0;2
Niklas Stark;GER;DF;Werder Bremen;Bundesliga;27;15;11;0;0.17
Calvin Stengs;NED;FW;Nice;Ligue 1;24;4;3;0;1.25
Pascal Stenzel;GER;DF;Stuttgart;Bundesliga;26;10;3;0;0.57
Jack Stephens;ENG;DF;Southampton;Premier League;29;2;0;0;0
Jack Stephens;ENG;DF;Bournemouth;Premier League;29;5;3;0;0
Raheem Sterling;ENG;FWMF;Chelsea;Premier League;28;16;14;4;1.65
Angelo Stiller;GER;MF;Hoffenheim;Bundesliga;21;13;3;0;0.65
Lars Stindl;GER;FWMF;M'Gladbach;Bundesliga;34;14;10;4;2.32
Kevin Stöger;AUT;MF;Bochum;Bundesliga;29;19;17;1;1.69
Petar Stojanovi?;SVN;DF;Empoli;Serie A;27;18;13;0;0.38
John Stones;ENG;DF;Manchester City;Premier League;28;14;13;0;0.53
Jørgen Strand Larsen;NOR;FW;Celta Vigo;La Liga;23;16;12;2;2.25
Gabriel Strefezza;BRA;FWMF;Lecce;Serie A;25;20;18;7;2.2
Dávid Strelec;SVK;FW;Spezia;Serie A;21;7;1;0;1.58
Pascal Struijk;NED;DF;Leeds United;Premier League;23;20;20;2;0.7
Cristhian Stuani;URU;FW;Girona;La Liga;36;16;5;5;2.64
Damián Suárez;URU;DF;Getafe;La Liga;34;13;12;1;0.2
Denis Suárez;ESP;MF;Espanyol;La Liga;29;1;0;0;0
Mario Suárez;ESP;DFMF;Rayo Vallecano;La Liga;35;1;0;0;0
Gabriel Suazo;CHI;DF;Toulouse;Ligue 1;25;3;1;0;0
Isaac Success;NGA;FW;Udinese;Serie A;27;21;14;0;1.62
Niklas Süle;GER;DF;Dortmund;Bundesliga;27;17;13;1;1.09
Ibrahim Sulemana;GHA;MF;Hellas Verona;Serie A;19;11;3;0;2
Kamaldeen Sulemana;GHA;FWMF;Southampton;Premier League;20;2;1;0;4.67
Kamaldeen Sulemana;GHA;FWMF;Rennes;Ligue 1;20;14;2;1;3.61
Crysencio Summerville;NED;FW;Leeds United;Premier League;21;14;5;4;1.73
Ivan Šunji?;CRO;MF;Hertha BSC;Bundesliga;26;15;12;0;0.57
Sam Surridge;ENG;FW;Nott'ham Forest;Premier League;24;14;1;1;3.1
Suso;ESP;FWMF;Sevilla;La Liga;29;10;2;0;2
Mattias Svanberg;SWE;MF;Wolfsburg;Bundesliga;24;19;11;2;1.43
Williot Swedberg;SWE;MF;Celta Vigo;La Liga;19;1;0;0;0
Issiaga Sylla;GUI;DF;Montpellier;Ligue 1;29;1;1;0;0
Issiaga Sylla;GUI;DF;Toulouse;Ligue 1;29;17;16;0;0.59
Wojciech Szcz?sny;POL;GK;Juventus;Serie A;32;15;15;0;0
Dominik Szoboszlai;HUN;MFFW;RB Leipzig;Bundesliga;22;18;16;3;1.67
Alexander Sørloth;NOR;FW;Real Sociedad;La Liga;27;16;16;8;2.39
Alexander Sørloth;NOR;FW;RB Leipzig;Bundesliga;27;1;0;0;0
Nicolás Tagliafico;ARG;DF;Lyon;Ligue 1;30;20;20;1;0.71
Jonathan Tah;GER;DF;Leverkusen;Bundesliga;27;20;17;1;0.42
Benjamin Tahirovic;SWE;MF;Roma;Serie A;19;5;1;0;0
Waniss Taibi;FRA;MF;Angers;Ligue 1;20;9;1;0;0.53
Flavien Tait;FRA;MF;Rennes;Ligue 1;30;22;16;2;1.26
Montassar Talbi;TUN;DF;Lorient;Ligue 1;24;22;22;1;0.18
Adrien Tameze;CMR;MF;Hellas Verona;Serie A;29;20;18;0;0.4
Japhet Tanganga;ENG;DF;Tottenham;Premier League;23;2;2;0;0
Renato Tapia;PER;MF;Celta Vigo;La Liga;27;15;8;0;0.52
Edmond Tapsoba;BFA;DF;Leverkusen;Bundesliga;24;20;20;1;0.41
Florian Tardieu;FRA;MF;Troyes;Ligue 1;30;14;11;3;0.89
Matt Targett;ENG;DF;Newcastle Utd;Premier League;27;10;4;0;0.21
James Tarkowski;ENG;DF;Everton;Premier League;30;21;21;1;0.71
Ciprian T?t?ru?anu;ROU;GK;Milan;Serie A;37;15;15;0;0
Niklas Tauer;GER;DFMF;Mainz 05;Bundesliga;21;3;0;0;1
Nuno Tavares;POR;DFMF;Marseille;Ligue 1;23;19;15;5;2.48
Marcus Tavernier;ENG;MFFW;Bournemouth;Premier League;23;16;15;2;1.78
Enzo Tchato;CMR;DF;Montpellier;Ligue 1;20;16;10;1;0.29
Aurélien Tchouaméni;FRA;MF;Real Madrid;La Liga;23;16;13;0;1.44
Mathys Tel;FRA;FW;Bayern Munich;Bundesliga;17;12;1;3;4.64
Semir Telalovic;GER;MF;M'Gladbach;Bundesliga;23;1;0;0;0
Alex Telles;BRA;DF;Sevilla;La Liga;30;13;7;0;0.48
Marc-André ter Stegen;GER;GK;Barcelona;La Liga;30;20;20;0;0
Simon Terodde;GER;FW;Schalke 04;Bundesliga;34;20;16;3;2.25
Filippo Terracciano;ITA;DFMF;Hellas Verona;Serie A;20;12;4;0;0.52
Pietro Terracciano;ITA;GK;Fiorentina;Serie A;32;18;18;0;0
Ramón Terrats;ESP;MF;Girona;La Liga;22;8;2;0;1.67
Martin Terrier;FRA;FWMF;Rennes;Ligue 1;25;16;16;9;3.2
Aleksa Terzi?;SRB;DF;Fiorentina;Serie A;23;11;2;0;1.35
Tetê;BRA;FW;Leicester City;Premier League;22;2;2;1;2.78
Tetê;BRA;FWMF;Lyon;Ligue 1;22;17;14;6;2.44
Kenny Tete;NED;DF;Fulham;Premier League;27;17;16;0;0.38
Florian Thauvin;FRA;MFDF;Udinese;Serie A;30;1;0;0;0
Arthur Theate;BEL;DF;Rennes;Ligue 1;22;22;22;2;0.55
Malick Thiaw;GER;DF;Milan;Serie A;21;6;3;0;0.38
Malick Thiaw;GER;DF;Schalke 04;Bundesliga;21;3;3;0;0.67
Jan Thielmann;GER;FW;Köln;Bundesliga;20;12;5;1;1.55
Sada Thioub;SEN;FWMF;Angers;Ligue 1;27;18;5;0;1.15
Luke Thomas;ENG;DF;Leicester City;Premier League;21;10;8;0;0.26
Adrien Thomasson;FRA;MF;Strasbourg;Ligue 1;29;15;10;0;1.63
Adrien Thomasson;FRA;MFFW;Lens;Ligue 1;29;4;1;1;3.57
Morten Thorsby;NOR;MF;Union Berlin;Bundesliga;26;13;4;1;1.6
Kristian Thorstvedt;NOR;MF;Sassuolo;Serie A;23;19;11;1;1.43
Marcus Thuram;FRA;FW;M'Gladbach;Bundesliga;25;18;18;10;3.41
Khéphren Thuram-Ulie;FRA;MF;Nice;Ligue 1;21;23;18;1;1.08
Alexis Tibidi;FRA;FW;Troyes;Ligue 1;19;1;0;0;0
Youri Tielemans;BEL;MF;Leicester City;Premier League;25;21;19;3;1.2
Kieran Tierney;SCO;DF;Arsenal;Premier League;25;15;4;0;0.96
Steffen Tigges;GER;FW;Köln;Bundesliga;24;16;12;5;1.7
Jean-Clair Todibo;FRA;DF;Nice;Ligue 1;23;21;21;0;0.21
Harry Toffolo;ENG;DF;Nott'ham Forest;Premier League;27;10;6;0;0.44
