Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Cristiano Biraghi;ITA;DF;Fiorentina;Serie A;30;20;19;0;0.78
Samuele Birindelli;ITA;DF;Monza;Serie A;23;18;10;0;1.22
Veljko Birman?evi?;SRB;FWMF;Toulouse;Ligue 1;24;14;1;0;2
Tom Bischof;GER;MFFW;Hoffenheim;Bundesliga;17;6;3;0;1.92
Yves Bissouma;MLI;MF;Tottenham;Premier League;26;20;8;0;0.56
Kristijan Bistrovi?;CRO;MF;Lecce;Serie A;24;11;5;0;1.57
Leonardo Bittencourt;GER;MFDF;Werder Bremen;Bundesliga;29;14;12;2;1.35
Marco Bizot;NED;GK;Brest;Ligue 1;31;21;21;0;0
Blanco;ESP;MF;Cádiz;La Liga;22;3;2;0;0
Lautaro Blanco;ARG;MFDF;Elche;La Liga;23;5;2;0;0
Rubén Blanco;ESP;GK;Marseille;Ligue 1;27;4;4;0;0
Ludovic Blas;FRA;MFFW;Nantes;Ligue 1;25;22;18;4;3.3
Janis Blaswich;GER;GK;RB Leipzig;Bundesliga;31;13;13;0;0
Miha Bla?i?;SVN;DF;Angers;Ligue 1;29;17;17;2;0.3
Joaquín Blázquez;ARG;GK;Brest;Ligue 1;22;1;1;0;0
Alexis Blin;FRA;MFDF;Lecce;Serie A;26;20;13;0;0.36
Daley Blind;NED;MFDF;Bayern Munich;Bundesliga;32;2;0;0;2.5
Myron Boadu;NED;FW;Monaco;Ligue 1;22;4;0;1;1.67
Jérôme Boateng;GER;DF;Lyon;Ligue 1;34;6;4;0;0
Kevin-Prince Boateng;GHA;MF;Hertha BSC;Bundesliga;35;9;1;0;0
Antonin Bobichon;FRA;MF;Angers;Ligue 1;27;3;0;0;5
Jean-Paul Boëtius;NED;MF;Hertha BSC;Bundesliga;28;14;8;0;0.6
Jeremie Boga;CIV;MFFW;Atalanta;Serie A;26;12;3;1;1.82
Emil Bohinen;NOR;MF;Salernitana;Serie A;23;10;4;0;0.53
Quentin Boisgard;FRA;MF;Lorient;Ligue 1;25;5;1;1;3
Willy Boly;CIV;DF;Nott'ham Forest;Premier League;32;8;8;0;0.15
Giacomo Bonaventura;ITA;MF;Fiorentina;Serie A;33;18;16;3;2.36
